Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
1,1,1,1,0,0,0,0,2,15,427500.0,32.86857362,12.43557363,Working,Higher education,Civil marriage,Rented apartment,Other,1
1,1,1,0,0,0,0,0,2,29,112500.0,58.79381507,3.104786546,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
0,0,1,0,1,1,0,0,1,4,270000.0,52.3214029,8.353354278,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0
0,0,1,0,0,0,1,0,1,20,283500.0,61.504343,0.0,Pensioner,Higher education,Separated,House / apartment,Other,0
1,1,1,1,1,1,0,0,2,5,270000.0,46.19396702,2.105450488,Working,Higher education,Married,House / apartment,Accountants,0
1,1,1,0,0,0,0,0,2,17,135000.0,48.67451077,3.269060966,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
0,1,0,0,0,0,0,0,2,25,130500.0,29.21072986,3.019911429,Working,Incomplete higher,Married,House / apartment,Accountants,1
0,0,1,0,1,0,0,0,2,31,157500.0,27.46394519,4.021985393,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
0,0,1,0,0,0,0,1,2,44,112500.0,30.02936405,4.435409351,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
1,1,1,0,0,0,0,3,5,24,270000.0,34.74130201,3.184185849,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
1,0,1,0,0,0,0,1,3,39,405000.0,32.42229478,5.519620526,Commercial associate,Higher education,Married,House / apartment,Managers,0
1,1,1,0,1,0,0,0,2,43,112500.0,56.13256946,12.18368618,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
0,1,1,0,0,0,0,2,4,39,135000.0,43.15215234,8.687378933,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
0,0,1,0,0,0,0,1,3,24,211500.0,44.3869484,19.43640184,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
1,1,1,0,1,0,0,0,2,10,360000.0,45.64090981,14.68613319,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,1
0,0,1,0,0,1,0,2,4,21,126000.0,33.98016386,4.854309123,Commercial associate,Higher education,Married,House / apartment,Managers,0
0,0,1,0,0,0,1,0,1,40,315000.0,55.26739084,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
0,0,1,0,0,0,0,0,1,11,247500.0,46.58822563,3.687960738,Commercial associate,Higher education,Separated,Rented apartment,Core staff,0
0,0,1,0,0,0,0,0,1,7,297000.0,42.48957884,8.854391261,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,0
0,0,0,0,1,0,0,0,2,43,157500.0,37.35052739,13.26789736,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,1
1,0,1,1,1,0,0,0,2,12,135000.0,42.3937521,3.854973066,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
1,0,1,0,0,0,0,1,3,45,225000.0,28.25793822,7.688042876,Working,Secondary / secondary special,Married,House / apartment,Other,0
